,ticket_id,message,category,sentiment,urgency,success,pred_category,pred_sentiment,pred_urgency,pred_summary
0,1,My laptop screen is broken and I need urgent help.,technical,negative,high,True,technical,negative,high,Laptop screen repair needed urgently
1,2,I forgot my password and need to reset it.,account,neutral,medium,True,account,neutral,medium,User needs to reset their forgotten password
2,3,My package arrived two days late.,delivery,negative,medium,True,delivery,negative,low,Package arrived late
3,4,I was charged twice for the same order.,billing,negative,high,True,billing,negative,high,Customer charged twice for the same order
4,5,I want to cancel my subscription.,subscription,neutral,medium,True,subscription,neutral,low,Customer wants to cancel their subscription
5,6,"Your support team was very helpful, thank you!",account,positive,low,True,technical,positive,low,Customer appreciates support team's assistance
6,7,The payment failed but money was deducted from my account.,billing,negative,high,True,billing,negative,high,Payment failed but funds were deducted
7,8,I received my order early and everything looks great.,delivery,positive,low,True,delivery,positive,low,Order arrived early and product quality is good
8,9,The mobile app freezes when I upload a file.,technical,negative,high,True,technical,neutral,medium,Mobile app freezes on file upload
9,10,How can I upgrade my subscription plan?,subscription,neutral,low,True,account,neutral,low,Requesting to upgrade subscription plan
10,11,The website is throwing a 500 error when I try to checkout.,technical,negative,high,True,technical,neutral,medium,Website experiencing 500 error during checkout
11,12,How do I upgrade my current plan to premium?,subscription,neutral,low,True,account,neutral,medium,Request for plan upgrade to premium
12,13,Thank you for fixing my account issues so quickly!,account,positive,low,True,account,positive,high,Account issue resolved promptly
13,14,I haven't received any tracking updates for a week.,delivery,negative,high,True,delivery,neutral,high,Missing delivery updates for a week
14,15,Where can I find the invoice for last month?,billing,neutral,low,True,billing,neutral,low,Request for invoice information
15,16,My software keeps crashing upon startup.,technical,negative,high,True,technical,neutral,low,Software crashes on startup
16,17,I'd like to change the shipping address for my recent order.,delivery,neutral,medium,True,account,neutral,low,Request to change shipping address
17,18,The promo code I received isn't working.,billing,negative,medium,True,billing,neutral,low,Promo code not working
18,19,Can I pause my membership for a month?,subscription,neutral,low,True,subscription,neutral,low,Customer requests to pause membership for a month
19,20,I'm locked out of my account and need it for a meeting now!,account,negative,high,True,account,negative,high,Account lockout during urgent meeting
0,1,My laptop screen is broken and I need urgent help.,technical,negative,high,True,technical,negative,high,Laptop screen issue with high urgency
